Monthly El Nino Sea Surface Temperature (degrees Celsius)
Year.Month    SST (!Uo!NC)
1946.125000   0.14
1946.208333   0.09
1946.291667   0.12
1946.375000  -0.38
1946.458333  -0.38
1946.541667  -0.60
1946.625000  -0.47
1946.708333  -1.12
1946.791667  -0.57
1946.875000  -0.64
1946.958333  -0.17
1947.041667  -0.03
1947.125000   0.06
1947.208333   0.11
1947.291667  -0.28
1947.375000  -0.38
1947.458333   0.03
1947.541667  -0.08
1947.625000  -0.37
1947.708333  -0.61
1947.791667  -0.73
1947.875000  -0.70
1947.958333  -0.40
1948.041667  -0.30
1948.125000   0.29
1948.208333   0.38
1948.291667   0.42
1948.375000  -0.15
1948.458333  -0.31
1948.541667  -0.32
1948.625000  -0.02
1948.708333  -0.63
1948.791667  -0.98
1948.875000  -0.82
1948.958333  -0.07
1949.041667  -0.74
1949.125000   0.13
1949.208333  -0.75
1949.291667  -0.06
1949.375000  -0.22
1949.458333  -0.79
1949.541667  -0.74
1949.625000  -0.24
1949.708333  -0.77
1949.791667  -1.01
1949.875000  -1.66
1949.958333  -1.46
1950.041667  -1.36
1950.125000  -1.56
1950.208333  -0.67
1950.291667  -0.92
1950.375000  -1.23
1950.458333  -0.81
1950.541667  -0.40
1950.625000  -0.12
1950.708333  -0.66
1950.791667  -0.65
1950.875000  -1.03
1950.958333  -0.77
1951.041667  -0.35
1951.125000  -0.18
1951.208333  -0.13
1951.291667  -0.24
1951.375000   0.11
1951.458333   0.20
1951.541667   0.80
1951.625000   0.57
1951.708333   0.52
1951.791667   0.99
1951.875000   0.65
1951.958333   0.63
1952.041667   0.20
1952.125000   0.30
1952.208333   0.07
1952.291667   0.03
1952.375000  -0.22
1952.458333  -0.31
1952.541667  -0.49
1952.625000  -0.26
1952.708333  -0.28
1952.791667  -0.07
1952.875000  -0.31
1952.958333  -0.51
1953.041667   0.17
1953.125000   0.61
1953.208333   0.24
1953.291667   0.49
1953.375000   0.30
1953.458333   0.56
1953.541667   0.25
1953.625000   0.05
1953.708333   0.68
1953.791667   0.08
1953.875000   0.42
1953.958333   0.16
1954.041667   0.08
1954.125000  -0.26
1954.208333  -0.14
1954.291667  -1.07
1954.375000  -0.78
1954.458333  -0.80
1954.541667  -0.77
1954.625000  -0.80
1954.708333  -0.86
1954.791667  -0.70
1954.875000  -0.70
1954.958333  -0.80
1955.041667  -0.45
1955.125000  -0.13
1955.208333  -0.47
1955.291667  -0.39
1955.375000  -0.70
1955.458333  -0.67
1955.541667  -0.42
1955.625000  -0.55
1955.708333  -1.10
1955.791667  -1.56
1955.875000  -1.63
1955.958333  -1.29
1956.041667  -0.84
1956.125000  -0.24
1956.208333  -0.04
1956.291667  -0.18
1956.375000  -0.23
1956.458333  -0.11
1956.541667  -0.47
1956.625000  -0.40
1956.708333  -0.43
1956.791667  -0.26
1956.875000  -0.69
1956.958333  -0.40
1957.041667  -0.53
1957.125000  -0.04
1957.208333   0.47
1957.291667   0.46
1957.375000   0.60
1957.458333   0.78
1957.541667   1.32
1957.625000   1.43
1957.708333   1.06
1957.791667   0.80
1957.875000   1.34
1957.958333   1.37
1958.041667   1.43
1958.125000   1.20
1958.208333   0.81
1958.291667   0.44
1958.375000   0.32
1958.458333   0.19
1958.541667   0.23
1958.625000   0.23
1958.708333  -0.22
1958.791667  -0.07
1958.875000   0.11
1958.958333   0.00
1959.041667   0.29
1959.125000   0.27
1959.208333   0.13
1959.291667   0.29
1959.375000   0.35
1959.458333  -0.17
1959.541667  -0.19
1959.625000  -0.34
1959.708333  -0.29
1959.791667  -0.01
1959.875000  -0.04
1959.958333  -0.06
1960.041667   0.11
1960.125000  -0.14
1960.208333   0.19
1960.291667  -0.21
1960.375000  -0.13
1960.458333  -0.16
1960.541667  -0.13
1960.625000   0.10
1960.708333   0.22
1960.791667  -0.35
1960.875000  -0.51
1960.958333  -0.26
1961.041667  -0.23
1961.125000   0.21
1961.208333  -0.07
1961.291667   0.46
1961.375000   0.18
1961.458333   0.52
1961.541667  -0.34
1961.625000  -0.49
1961.708333  -0.70
1961.791667  -0.64
1961.875000  -0.15
1961.958333  -0.24
1962.041667  -0.18
1962.125000  -0.22
1962.208333  -0.54
1962.291667  -0.63
1962.375000  -0.46
1962.458333  -0.38
1962.541667  -0.17
1962.625000   0.01
1962.708333  -0.44
1962.791667  -0.30
1962.875000  -0.62
1962.958333  -0.81
1963.041667  -0.36
1963.125000  -0.30
1963.208333   0.17
1963.291667   0.31
1963.375000   0.46
1963.458333   0.62
1963.541667   1.04
1963.625000   1.10
1963.708333   0.97
1963.791667   1.00
1963.875000   0.97
1963.958333   1.08
1964.041667   0.54
1964.125000   0.43
1964.208333  -0.20
1964.291667  -0.60
1964.375000  -1.20
1964.458333  -1.14
1964.541667  -0.38
1964.625000  -0.88
1964.708333  -0.67
1964.791667  -0.67
1964.875000  -0.94
1964.958333  -1.24
1965.041667  -0.53
1965.125000  -0.17
1965.208333  -0.07
1965.291667   0.16
1965.375000   0.66
1965.458333   0.75
1965.541667   1.04
1965.625000   1.47
1965.708333   1.25
1965.791667   1.35
1965.875000   1.53
1965.958333   1.40
1966.041667   1.04
1966.125000   0.53
1966.208333   0.31
1966.291667   0.23
1966.375000  -0.39
1966.458333  -0.17
1966.541667   0.01
1966.625000  -0.26
1966.708333  -0.46
1966.791667  -0.28
1966.875000  -0.40
1966.958333  -0.57
1967.041667  -0.44
1967.125000  -0.25
1967.208333  -0.42
1967.291667  -0.69
1967.375000  -0.33
1967.458333  -0.06
1967.541667  -0.28
1967.625000  -0.58
1967.708333  -0.80
1967.791667  -0.83
1967.875000  -0.75
1967.958333  -0.92
1968.041667  -1.14
1968.125000  -1.16
1968.208333  -0.94
1968.291667  -0.43
1968.375000  -0.59
1968.458333   0.16
1968.541667   0.59
1968.625000   0.55
1968.708333   0.41
1968.791667   0.39
1968.875000   0.74
1968.958333   0.86
1969.041667   0.80
1969.125000   0.80
1969.208333   0.79
1969.291667   0.56
1969.375000   1.01
1969.458333   0.77
1969.541667   0.48
1969.625000   0.51
1969.708333   0.72
1969.791667   0.99
1969.875000   0.92
1969.958333   0.96
1970.041667   0.79
1970.125000   0.47
1970.208333   0.26
1970.291667   0.00
1970.375000  -0.44
1970.458333  -0.80
1970.541667  -1.65
1970.625000  -1.42
